U.S. Energy Information Administration,,,,,,,
February 2020 Monthly Energy Review,,,,,,,
,,,,,,,
0,,,,,,,
,,,,,,,
"Release Date: February 25, 2020",,,,,,,
"Next Update: March 26, 2020",,,,,,,
,,,,,,,
Table 9.9 Cost of Fossil-Fuel Receipts at Electric Generating Plants,,,,,,,
,,,,,,,
Month,Cost of Coal Receipts at Electric Generating Plants,Cost of Residual Fuel Receipts at Electric Generating Plants,Cost of Distillate Fuel Receipts at Electric Generating Plants,Costs of Petroleum Coke Receipts at Electric Generating Plants,Costs of Total Petroleum Receipts at Electric Generating Plants,Cost of Natural Gas Receipts at Electric Generating Plants,Cost of Fossil Fuel Receipts at Electric Generating Plants
,"(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)"
03/01/2012,2.39,22.1,24.96,1.9,12.88,2.99,2.69
04/01/2012,2.42,22.99,24.61,2.11,12.92,2.71,2.61
05/01/2012,2.42,23.06,23.24,2.57,13.66,2.94,2.7
06/01/2012,2.36,22.41,21.63,2.32,13.73,3.11,2.76
07/01/2012,2.4,19.84,21.92,2.41,14.5,3.43,2.92
08/01/2012,2.4,19.86,23.38,2.45,12.61,3.5,2.89
09/01/2012,2.38,20.9,24.42,2.39,10.35,3.41,2.81
10/01/2012,2.36,20.77,24.93,2,11.5,3.84,2.91
11/01/2012,2.36,20.72,24.28,2.05,11.71,4.25,2.99
12/01/2012,2.36,18.83,23.44,2.06,10.98,4.21,3.01
01/01/2013,2.34,19.13,22.94,2.04,12.44,4.38,3.08
02/01/2013,2.34,19.7,23.84,2.09,12.66,4.39,3.09
03/01/2013,2.35,19.38,23.87,2.08,14.34,4.3,3.09
04/01/2013,2.37,20.23,22.96,2.28,9.67,4.67,3.15
05/01/2013,2.37,19.53,22.6,2.34,10.75,4.62,3.15
06/01/2013,2.36,19.67,22.37,2.42,10.04,4.42,3.14
07/01/2013,2.31,18.76,23.1,2.29,11.38,4.2,3.11
08/01/2013,2.33,18.59,23.24,2.25,11.74,3.91,2.99
09/01/2013,2.35,18.92,23.55,2.17,10.06,4.08,3.02
10/01/2013,2.34,19.71,22.85,2.13,11.22,4.11,2.99
11/01/2013,2.33,18.85,22.74,1.91,12.88,4.19,3.01
12/01/2013,2.34,19.67,22.81,2.02,11.18,4.91,3.26
01/01/2014,2.29,19.65,23.12,1.82,16.63,7.02,4.07
02/01/2014,2.32,20.05,23.97,Withheld,16.38,7.4,Withheld
03/01/2014,2.36,20.61,23.83,2.02,12.63,6,3.52
04/01/2014,2.39,20.88,22.82,2.13,10.14,5.07,3.23
05/01/2014,2.4,19.98,22.77,2.19,9.91,4.93,3.25
06/01/2014,2.38,20.38,22.72,2.07,10.67,4.84,3.27
07/01/2014,2.38,20.57,22.36,1.9,10.07,4.43,3.17
08/01/2014,2.37,19.89,21.94,1.97,9.77,4.12,3.06
09/01/2014,2.37,18.64,21.38,1.92,9.93,4.2,3.06
10/01/2014,2.31,17.19,20.09,1.79,10.67,4.1,2.96
11/01/2014,2.3,14.64,19.68,1.86,10.5,4.48,3.06
12/01/2014,2.51,12.1,16.5,2,8.15,4.36,3.14
01/01/2015,2.29,12.28,13.37,2,7.07,4.11,2.92
02/01/2015,2.26,10.3,16.46,1.76,8.97,4.7,3.19
03/01/2015,2.26,10.37,15.6,2,8.2,3.55,2.78
04/01/2015,2.23,11.83,14.82,1.96,6.85,3.1,2.58
05/01/2015,2.26,10.83,15.34,2.02,7.17,3.14,2.64
06/01/2015,2.25,12.2,15.29,1.87,7.78,3.12,2.66
07/01/2015,2.21,11.34,14.37,1.9,6.03,3.11,2.63
08/01/2015,2.23,11.25,13.05,1.82,6.38,3.11,2.62
09/01/2015,2.22,8.44,12.02,1.74,5.68,3.06,2.57
10/01/2015,2.15,7.74,12.44,1.83,5.75,2.92,2.47
11/01/2015,2.15,7.77,12.38,1.59,5.55,2.65,2.38
12/01/2015,2.16,7.81,10.57,1.57,4.97,2.59,2.36
01/01/2016,2.12,7.08,8.9,1.38,4.56,3.02,2.52
02/01/2016,2.11,5.77,8.78,1.3,3.66,2.7,2.36
03/01/2016,2.17,5.63,9.46,1.41,3.62,2.23,2.21
04/01/2016,2.16,7.53,9.97,1.35,4.53,2.42,2.31
05/01/2016,2.16,9.07,10.76,1.32,5.7,2.39,2.31
06/01/2016,2.1,8.93,12.22,1.41,6.13,2.67,2.39
07/01/2016,2.11,11.72,12.08,1.47,6.38,2.97,2.55
08/01/2016,2.11,8.55,11.41,1.75,5.24,2.95,2.52
09/01/2016,2.12,8.42,11.29,2.07,5.23,3.07,2.55
10/01/2016,2.07,8.75,12.04,1.98,5.85,3.13,2.51
11/01/2016,2.08,9.03,12.01,2.26,6.24,3.02,2.47
12/01/2016,2.08,9.65,12.22,2.07,5.93,3.96,2.82
01/01/2017,2.09,11.25,13.02,2.14,7.8,4.11,2.88
02/01/2017,2.06,10.77,12.98,2,6.37,3.56,2.63
03/01/2017,2.07,11.42,12.35,2.06,7.66,3.35,2.66
04/01/2017,2.08,10.64,13,2,7.01,3.38,2.65
05/01/2017,2.09,10.69,12.22,2.05,6.69,3.48,2.7
06/01/2017,2.07,10.48,11.56,2.11,6.18,3.29,2.64
07/01/2017,2.06,9.99,11.82,2.09,5.97,3.21,2.64
08/01/2017,2.05,10.03,12.95,2.08,6.31,3.13,2.56
09/01/2017,2.02,10.06,14.52,2.1,6.42,3.16,2.56
10/01/2017,2.03,10.61,14.11,2.31,6.88,3.13,2.54
11/01/2017,2.04,10.28,14.61,2.49,8.04,3.35,2.62
12/01/2017,2.04,13.6,14.63,2.17,8.9,3.63,2.8
01/01/2018,2.06,11.45,16.07,2.38,11.95,5.06,3.59
02/01/2018,2.07,11.46,15.19,2.43,8.61,3.61,2.82
03/01/2018,2.04,12.1,15.02,2.54,8,3.18,2.59
04/01/2018,2.07,12.2,16.19,2.56,8.35,3.14,2.61
05/01/2018,2.04,12.83,16.73,2.41,10.61,3.06,2.59
06/01/2018,2.04,13.81,16.59,2.73,9.5,3.13,2.64
07/01/2018,2.05,13.76,16.21,2.71,8.4,3.23,2.73
08/01/2018,2.06,14.38,16.93,2.79,8.48,3.28,2.72
09/01/2018,2.05,13.91,17.39,2.94,9.06,3.12,2.65
10/01/2018,2.04,14.52,17.76,2.48,10.61,3.43,2.76
11/01/2018,2.06,15.25,16.39,2.21,9.91,4.18,3.05
12/01/2018,2.11,13.56,14.54,2.03,9.51,4.72,3.29
01/01/2019,2.1,11.29,14.12,2.08,8.4,4.01,2.99
02/01/2019,2.07,12.27,15.31,2.27,9.37,3.64,2.85
03/01/2019,2.08,13.68,15.69,2.43,10.43,3.45,2.79
04/01/2019,2.07,13.89,16.32,2.71,11.04,2.89,2.49
05/01/2019,2.06,13.47,16.18,2.24,9.42,2.77,2.43
06/01/2019,2.03,12.92,14.86,2.18,9.57,2.59,2.36
07/01/2019,2.02,12.93,15.1,2.01,7.94,2.53,2.33
08/01/2019,2,13.72,14.83,1.72,6.88,2.41,2.25
09/01/2019,1.96,11.53,15.11,1.67,9.15,2.59,2.33
10/01/2019,1.99,12.65,15.38,1.57,10.51,2.5,2.28
11/01/2019,1.96,12.04,15.29,1.46,7.65,2.96,2.49
