U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1983,6.9,6.9,5,Not Available,Not Available,6.2
04/01/1983,6.9,6.9,4.9,Not Available,Not Available,6.1
05/01/1983,7.2,7,4.9,Not Available,Not Available,6.2
06/01/1983,7.4,7.1,5,Not Available,Not Available,6.4
07/01/1983,7.5,7.1,5.1,Not Available,Not Available,6.5
08/01/1983,7.5,7.1,5,Not Available,Not Available,6.5
09/01/1983,7.6,7.2,5,Not Available,Not Available,6.5
10/01/1983,7.5,7.2,5,Not Available,Not Available,6.4
11/01/1983,7.3,7.1,4.8,Not Available,Not Available,6.2
12/01/1983,7,6.9,4.8,Not Available,Not Available,6.1
01/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
