U.S. Energy Information Administration,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
0,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,
,,,,,,,,,,,
Table 9.10 Natural Gas Prices,,,,,,,,,,,
,,,,,,,,,,,
Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
10/01/1976,0.62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1976,0.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1976,0.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1977,0.67,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1977,0.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1977,0.75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1977,0.77,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1977,0.77,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1977,0.82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1977,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1977,0.82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1977,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1977,0.84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1977,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1977,0.84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1978,0.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1978,0.88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1978,0.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1978,0.88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1978,0.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1978,0.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1978,0.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1978,0.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1978,0.92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1978,0.92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1978,0.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1978,0.96,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1979,1.02,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.55,Not Available
02/01/1979,1.05,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.65,Not Available
03/01/1979,1.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.69,Not Available
04/01/1979,1.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7,Not Available
05/01/1979,1.15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.82,Not Available
06/01/1979,1.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
07/01/1979,1.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
08/01/1979,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
09/01/1979,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.89,Not Available
10/01/1979,1.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.96,Not Available
11/01/1979,1.29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
12/01/1979,1.31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.9,Not Available
01/01/1980,1.37,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available
02/01/1980,1.42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1,Not Available
03/01/1980,1.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.13,Not Available
04/01/1980,1.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.09,Not Available
05/01/1980,1.56,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.17,Not Available
06/01/1980,1.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.15,Not Available
07/01/1980,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.36,Not Available
08/01/1980,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
09/01/1980,1.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
10/01/1980,1.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.52,Not Available
11/01/1980,1.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.37,Not Available
12/01/1980,1.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.31,Not Available
01/01/1981,1.77,Not Available,3.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.51,Not Available
02/01/1981,1.81,Not Available,3.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.67,Not Available
03/01/1981,1.86,Not Available,4.06,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.71,Not Available
04/01/1981,1.93,Not Available,4.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.81,Not Available
05/01/1981,1.95,Not Available,4.29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.92,Not Available
06/01/1981,1.95,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
07/01/1981,2.01,Not Available,4.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97,Not Available
08/01/1981,2.02,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.99,Not Available
09/01/1981,2.08,Not Available,4.47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
10/01/1981,2.11,Not Available,4.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
