U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 2.6 Electric Power Sector Energy Consumption,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Coal Consumed by the Electric Power Sector,Natural Gas Consumed by the Electric Power Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Electric Power Sector,Total Fossil Fuels Consumed by the Electric Power Sector,Nuclear Electric Power Consumed by the Electric Power Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector,Electric Power Sector Electricity Net Imports,Total Primary Energy Consumed by the Electric Power Sector
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
01/01/2006,1740.317,326.37,59.795,2126.482,750.397,268.478,12.196,0.128,23.633,36.67,341.106,4.924,3222.909
02/01/2006,1615.276,354.814,49.086,2019.176,653.394,242.711,11.018,0.194,19.064,33.507,306.493,5.374,2984.437
03/01/2006,1644.292,417.088,38.497,2099.877,664.927,242.044,12.511,0.331,23.395,35.203,313.484,5.656,3083.945
04/01/2006,1446.189,436.563,44.59,1927.341,600.714,281.313,11.199,0.517,24.517,29.514,347.06,4.788,2879.903
05/01/2006,1604.743,517.043,42.869,2164.655,655.064,303.796,10.867,0.702,24.388,32.587,372.339,4.959,3197.017
06/01/2006,1740.358,644.671,57.584,2442.613,713.665,293.316,11.895,0.691,20.351,33.799,360.053,4.843,3521.174
07/01/2006,1935.561,884.731,71.331,2891.622,753.266,250.122,12.511,0.612,19.392,36.055,318.692,10.469,3974.049
08/01/2006,1956.895,860.75,85.198,2902.843,751.488,213.712,12.785,0.823,16.418,36.593,280.331,10.495,3945.157
09/01/2006,1680.719,561.356,46.075,2288.151,695.413,168.588,12.096,0.536,18.639,34.315,234.173,0.002,3217.739
10/01/2006,1668.712,540.201,50.199,2259.112,600.11,166.377,12.649,0.32,24.223,33.906,237.476,1.207,3097.905
11/01/2006,1640.182,406.276,47.05,2093.507,640.629,197.422,11.977,0.156,25.199,34.572,269.324,2.589,3006.05
12/01/2006,1788.64,424.595,44.685,2257.92,735.56,211.475,12.796,0.027,24.517,35.763,284.577,7.542,3285.599
01/01/2007,1825.384,459.013,59.546,2343.943,776.251,255.535,12.806,0.127,24.239,39.193,331.899,6.489,3458.582
02/01/2007,1672.881,435.976,86.788,2195.645,684.143,182.063,11.095,0.19,24.906,32.222,250.475,9.681,3139.945
03/01/2007,1628.616,425.958,52.408,2106.982,674.497,236.913,11.902,0.479,30.117,34.713,314.124,6.151,3101.754
04/01/2007,1508.136,463.97,49.095,2021.201,601.035,234.195,11.445,0.538,31.349,33.17,310.698,9.65,2942.583
05/01/2007,1615.418,519.334,47.17,2181.922,682.043,255.673,11.413,0.832,29.181,33.744,330.844,11.888,3206.697
06/01/2007,1785.824,643.051,57.424,2486.299,722.934,224.271,12.238,0.835,25.9,35.015,298.259,10.866,3518.359
07/01/2007,1922.181,778.415,55.501,2756.098,762.954,221.274,12.359,0.848,21.333,36.164,291.979,12.863,3823.894
08/01/2007,1972.7,992.505,71.774,3036.979,763.084,196.343,12.4,0.743,26.681,36.321,272.487,11.91,4084.46
09/01/2007,1750.444,699.143,49.301,2498.889,708.832,144.958,12.036,0.674,28.335,35.206,221.208,4.716,3433.645
10/01/2007,1668.565,618.2,47.057,2333.821,647.062,145.256,12.499,0.487,33.374,35.122,226.737,6.865,3214.485
11/01/2007,1640.359,458.67,30.343,2129.372,680.729,153.738,11.969,0.24,30.591,35.718,232.257,8.644,3051.002
12/01/2007,1817.213,509.952,41.423,2368.587,755.027,179.69,12.512,0.053,34.497,36.862,263.614,6.908,3394.137
01/01/2008,1862.077,544.721,43.627,2450.425,739.318,203.101,11.912,0.16,42.108,36.988,294.27,11.094,3495.107
02/01/2008,1707.656,449.79,36.201,2193.646,680.743,183.548,10.708,0.353,37.955,34.528,267.092,10.419,3151.9
03/01/2008,1640.425,472.035,30.649,2143.109,676.417,211.71,12.325,0.735,47.122,37.879,309.771,7.322,3136.619
04/01/2008,1513.035,480.837,33.594,2027.467,599.242,217.284,12.003,0.928,51.49,34.31,316.015,9.326,2952.049
05/01/2008,1597.854,486.531,34.092,2118.478,677.56,266.509,12.405,0.973,52.623,33.802,366.313,7.888,3170.238
06/01/2008,1761.302,681.021,50.945,2493.268,734.978,286.193,12.419,1.263,50.653,35.866,386.395,9.374,3624.014
07/01/2008,1932.511,800.392,42.278,2775.18,776.775,250.573,12.601,1.092,39.499,39.082,342.847,14.717,3909.519
08/01/2008,1884.363,780.847,38.338,2703.548,758.994,208.029,12.541,1.037,32.167,38.427,292.203,14.814,3769.558
09/01/2008,1683.012,616.738,41.748,2341.498,700.847,158.458,12.157,0.912,30.66,35.687,237.874,10.438,3290.657
10/01/2008,1576.693,558.06,31.999,2166.752,656.598,151.473,12.582,0.594,46.87,34.703,246.222,5.481,3075.053
11/01/2008,1594.455,468.555,33.036,2096.046,662.742,153.189,12.153,0.284,49.207,36.323,251.157,4.169,3014.114
12/01/2008,1759.572,488.098,42.828,2290.497,762.278,203.935,12.426,0.184,65.193,37.679,319.417,6.944,3379.137
01/01/2009,1769.382,498.5,60.054,2327.936,775.038,227.569,12.579,0.07,58.08,37.494,335.792,6.881,3445.647
02/01/2009,1449.514,463.703,32.069,1945.286,671.752,172.382,11.398,0.297,57.117,34.407,275.601,8.033,2900.672
03/01/2009,1404.497,510.718,33.086,1948.301,703.269,211.05,12.691,0.762,69.287,38.016,331.806,4.239,2987.615
04/01/2009,1310.315,461.109,27.06,1798.484,621.353,249.564,11.928,0.97,72.787,33.386,368.634,6.161,2794.631
05/01/2009,1374.767,526.189,31.668,1932.624,683.971,286.594,12.055,1.078,61.117,34.378,395.221,9.337,3021.154
06/01/2009,1541.254,656.281,32.091,2229.626,729.356,283.581,11.798,1.009,54.65,37.404,388.443,10.592,3358.016
07/01/2009,1644.511,794.54,33.497,2472.548,762.973,226.851,12.253,1.183,48.36,39.395,328.041,13.918,3577.481
08/01/2009,1691.2,858.29,36.362,2585.853,755.606,189.769,12.212,1.135,53.333,39.42,295.869,15.269,3652.597
09/01/2009,1436.091,704.667,27.856,2168.614,687.698,168.483,11.876,0.927,45.391,35.678,262.355,10.541,3129.208
10/01/2009,1454.7,548.442,25.371,2028.513,606.841,190.828,11.918,0.665,66.501,35.092,305.003,11.442,2951.798
11/01/2009,1426.267,466.977,19.744,1912.988,617.805,203.641,12.427,0.394,67.102,36.826,320.39,8.692,2859.875
12/01/2009,1722.835,531.588,23.513,2277.936,739.558,239.585,13.351,0.207,67.403,39.515,360.06,11.082,3388.637
01/01/2010,1774.932,556.699,44.18,2375.812,758.495,216.655,12.798,0.096,66.859,38.597,335.005,14.125,3483.437
02/01/2010,1567.555,489.136,22.708,2079.399,681.945,199.228,11.308,0.32,52.985,36.072,299.912,11.562,3072.818
03/01/2010,1493.503,465.641,24.487,1983.631,675.562,201.859,12.747,0.74,83.78,38.871,337.997,10.404,3007.594
04/01/2010,1311.65,480.215,22.229,1814.093,602.151,184.374,12.1,1.094,95.246,36.319,329.132,8.898,2754.274
05/01/2010,1483.432,569.849,30.262,2083.543,696.713,242.956,12.786,1.492,84.838,35.98,378.051,4.514,3162.822
06/01/2010,1707.797,718.687,40.307,2466.792,713.885,289.857,12.328,1.708,78.516,38.724,421.135,8.515,3610.327
07/01/2010,1854.753,913.908,45.415,2814.076,751.64,238.097,12.425,1.566,65.589,40.023,357.7,9.597,3933.012
08/01/2010,1849.413,960.641,36.608,2846.661,748.093,195.309,12.653,1.518,65.217,40.689,315.385,6.205,3916.344
09/01/2010,1553.675,709.472,27.352,2290.5,725.068,167.682,12.22,1.335,69.31,37.79,288.337,1.776,3305.68
10/01/2010,1383.264,580.723,21.643,1985.63,655.872,171.33,11.922,0.731,77.484,36.598,298.065,1.475,2941.042
11/01/2010,1422.945,505.929,20.266,1949.141,654.872,189.516,12.218,0.745,95.08,39.011,336.57,2.707,2943.29
12/01/2010,1730.537,575.378,34.867,2340.782,770.138,224.624,12.974,0.418,88.366,40.698,367.08,8.854,3486.854
01/01/2011,1741.101,550.13,33.745,2324.976,761.181,246.653,13.087,0.363,83.044,37.437,380.584,9.171,3475.911
02/01/2011,1421.053,492.909,23.632,1937.595,677.953,232.889,11.805,0.786,101.508,34.83,381.818,7.575,3004.941
03/01/2011,1401.415,490.847,26.831,1919.093,687.083,300.657,12.995,1.13,102.409,36.202,453.394,8.47,3068.039
04/01/2011,1294.497,530.834,23.615,1848.946,570.783,301.271,12.039,1.509,120.639,31.636,467.094,7.493,2894.316
05/01/2011,1418.428,582.043,23.445,2023.915,596.583,314.663,12.801,1.755,114.331,33.708,477.258,12.357,3110.114
06/01/2011,1622.873,711.778,25.673,2360.324,682.987,310.9,11.801,2.044,106.689,37.178,468.612,10.804,3522.727
07/01/2011,1818.775,955.463,30.918,2805.155,757.017,302.878,12.33,1.755,72.731,39.318,429.012,16.269,4007.452
08/01/2011,1779.604,937.996,26.251,2743.852,746.487,249.371,12.384,2.115,72.585,39.42,375.875,15.61,3881.823
09/01/2011,1480.918,696.249,22.982,2200.149,699.506,206.504,11.907,1.723,66.705,36.554,323.394,10.304,3233.353
10/01/2011,1343.392,585.035,19.572,1947.999,662.758,191.012,12.443,1.469,102.204,35.571,342.698,9.509,2962.963
11/01/2011,1294.274,552.392,17.285,1863.951,674.655,199.495,12.351,1.001,120.782,35.69,369.319,7.989,2915.913
12/01/2011,1418.845,625.362,21.091,2065.298,751.706,228.833,12.868,1.133,103.468,39.182,385.485,11.552,3214.041
01/01/2012,1356.185,661.741,22.906,2040.831,758.482,217.246,12.021,0.868,129.649,38.543,398.327,10.97,3208.61
02/01/2012,1206.53,657.347,17.94,1881.817,669.053,190.709,11.356,1.229,105.109,35.916,344.318,9.45,2904.639
03/01/2012,1100.131,687.11,14.27,1801.511,646.854,244.296,12.229,2.106,133.407,37.415,429.454,10.261,2888.08
04/01/2012,991.152,728.02,13.991,1733.164,585.471,248.495,11.879,2.901,120.872,33.216,417.363,12.759,2748.757
05/01/2012,1203.528,827.828,16.636,2047.992,650.551,270.516,12.409,4.236,119.283,35.824,442.268,14.746,3155.558
06/01/2012,1373.197,896.619,20.039,2289.855,682.603,252.002,12.157,4.834,113.877,37.918,420.787,14.192,3407.437
07/01/2012,1657.58,1102.413,22.832,2782.825,724.406,250.764,12.567,4.678,83.91,40.404,392.323,19.334,3918.89
08/01/2012,1584.599,1023.097,19.251,2626.947,729.361,217.727,12.407,4.234,80.555,40.471,355.394,18.756,3730.458
09/01/2012,1331.493,817.7,16.392,2165.585,676.01,165.987,12.371,4.177,83.6,37.73,303.865,13.655,3159.114
10/01/2012,1274.51,681.83,16.468,1972.808,626.049,155.169,12.648,3.949,120.171,37.591,329.529,12.492,2940.878
11/01/2012,1339.766,590.979,16.376,1947.121,594.293,176.215,12.819,3.189,110.788,37.561,340.571,13.289,2895.274
12/01/2012,1402.578,611.306,17.103,2030.986,718.688,216.922,13.23,3.223,138.143,40.055,411.573,11.35,3172.598
01/01/2013,1434.834,646.365,25.361,2106.561,746.119,233.765,13.185,2.861,140.533,39.084,429.428,14.747,3296.855
02/01/2013,1283.113,581.581,18.861,1883.555,642.44,191.308,11.795,3.977,134.224,34.711,376.016,14.489,2916.499
03/01/2013,1346.381,617.786,18.46,1982.627,657.737,192.993,13.15,5.689,150.249,39.496,401.576,15.784,3057.725
04/01/2013,1161.64,577.492,17.967,1757.099,593.157,237.022,12.157,6.105,166.665,34.558,456.507,13.567,2820.329
05/01/2013,1235.651,628.327,22.066,1886.044,656.7,268.27,12.477,6.905,154.847,37.448,479.946,17.109,3039.799
06/01/2013,1434.532,753.427,21.838,2209.797,694.124,258.095,12.196,8.007,131.108,38.556,447.962,18.812,3370.695
07/01/2013,1590.793,931.376,26.635,2548.804,737.064,256.931,12.755,7.627,105.792,40.885,423.99,20.035,3729.894
08/01/2013,1567.234,920.554,22.626,2510.414,745.477,204.076,12.617,8.716,91.875,42.418,359.703,20.958,3636.552
09/01/2013,1390.135,768.073,20.445,2178.654,687.533,159.517,12.397,8.748,111.323,39.284,331.269,16.83,3214.286
10/01/2013,1267.545,651.14,19.607,1938.292,660.205,161.796,13.009,9.107,130.012,39.12,353.044,14.837,2966.377
11/01/2013,1260.944,614.711,17.636,1893.29,678.929,166.667,11.74,7.62,150.652,40.559,377.239,15.912,2965.37
12/01/2013,1477.757,684.329,23.662,2185.747,744.947,198.482,13.029,7.879,133.143,43.491,396.024,14.393,3341.11
01/01/2014,1610.671,681.018,67.227,2358.917,765.208,204.561,12.886,6.981,170.178,45.343,439.948,14.277,3578.349
02/01/2014,1466.74,566.112,27.171,2060.022,655.141,164.418,11.47,7.74,133.107,42.134,358.869,10.729,3084.762
03/01/2014,1388.872,575.87,30.839,1995.581,652.611,229.56,12.721,12.234,168.537,46.218,469.271,12.442,3129.905
04/01/2014,1117.58,563.273,16.972,1697.824,589.726,240.693,12.492,13.817,177.088,41.241,485.331,11.783,2784.665
05/01/2014,1231.911,663.648,20.031,1915.591,658.367,251.163,12.671,16.263,148.266,41.077,469.44,15.571,3058.969
06/01/2014,1429.837,739.355,19.974,2189.166,712.658,243.841,12.3,17.905,150.127,45.365,469.538,15.177,3386.539
07/01/2014,1568.017,865.131,20.089,2453.237,752.422,230.76,12.549,16.626,115.798,47.587,423.319,17.976,3646.954
08/01/2014,1559.84,921.11,20.633,2501.582,743.936,187.428,12.641,17.486,96.642,46.44,360.636,19.841,3625.994
09/01/2014,1329.398,790.873,19.314,2139.586,706.343,152.025,12.435,17.075,109.458,43.226,334.219,17.976,3198.123
10/01/2014,1175.677,721.601,14.838,1912.115,652.547,162.274,12.792,15.976,137.821,42.403,371.266,15.085,2951.013
11/01/2014,1244.113,616.371,17.33,1877.813,681.301,176.162,12.957,12.847,179.24,43.627,424.834,16.063,3000.011
12/01/2014,1304.745,655.904,21.052,1981.701,767.299,211.136,13.076,9.612,139.763,45.481,419.069,14.64,3182.709
01/01/2015,1365.554,734.968,29.212,2129.735,776.715,223.787,12.692,10.569,141.148,44.782,432.978,17.816,3357.244
02/01/2015,1283.95,669.934,58.913,2012.797,663.68,206.685,11.743,13.6,138.924,41.407,412.359,14.394,3103.23
03/01/2015,1115.675,732.008,17.741,1865.424,675.03,225.035,12.991,18.986,142.515,43.011,442.538,19.409,3002.401
04/01/2015,927.605,685.683,16.766,1630.053,625.226,208.098,11.858,21.786,166.348,39.644,447.734,20.277,2723.291
05/01/2015,1092.463,757.934,19.062,1869.459,688.414,186.337,12.955,22.888,159.694,41.4,423.274,20.497,3001.644
06/01/2015,1318.527,914.939,18.508,2251.974,716.542,189.144,12.13,23.41,124.964,43.736,393.383,20.735,3382.634
07/01/2015,1463.744,1079.268,23.017,2566.029,746.829,194.729,12.643,24.038,127.349,47.961,406.721,21.322,3740.9
08/01/2015,1410.64,1059.679,21.269,2491.588,757.32,177.336,12.526,24.596,121.801,47.739,383.998,22.215,3655.121
09/01/2015,1238.393,923.756,19.73,2181.879,695.21,149.245,11.209,20.294,130.102,43.055,353.906,20.139,3251.133
10/01/2015,1025.403,816.979,17.244,1859.625,633.451,153.887,12.329,17.477,152.492,41.34,377.524,15.572,2886.172
11/01/2015,935.845,756.281,17.501,1709.627,630.24,178.943,12.428,15.857,183.241,43.933,434.402,17.7,2791.969
12/01/2015,960.452,793.854,17.003,1771.309,728.229,214.491,12.832,14.4,187.127,46.871,475.722,17.403,2992.663
01/01/2016,1190.065,798.904,23.223,2012.192,758.537,235.083,12.297,13.462,170.302,43.874,475.017,20.931,3266.676
02/01/2016,970.319,711.902,21.609,1703.83,686.509,221.622,11.479,20.315,185.733,42.831,481.981,16.653,2888.973
03/01/2016,765.127,768.335,18.459,1551.921,691.851,251.347,12.142,23.733,202.364,43.07,532.655,17.531,2793.958
04/01/2016,750.012,741.475,18.709,1510.195,656.112,237.584,11.161,26.137,191.85,39.058,505.79,14.508,2686.606
05/01/2016,863.454,829.515,19.494,1712.463,696.324,234.081,12.388,31.158,173.857,39.637,491.121,17.712,2917.62
06/01/2016,1211.435,1000.734,20.005,2232.174,702.587,213.494,11.553,31.552,150.388,41.271,448.258,20.943,3403.962
07/01/2016,1421.856,1175.865,24.193,2621.914,735.784,196.98,12.105,35.88,162.53,43.601,451.096,24.223,3833.017
08/01/2016,1415.214,1187.542,24.058,2626.814,748.095,179.636,12.226,36.082,125.36,45.459,398.763,23.073,3796.744
09/01/2016,1194.864,943.934,19.604,2158.402,684.522,150.287,12.248,33.089,151.319,41.409,388.351,16.073,3247.348
10/01/2016,1046.165,766.987,16.421,1829.573,635.21,159.061,12.492,29.049,187.575,37.418,425.597,18.147,2908.527
11/01/2016,922.776,682.946,17.76,1623.483,681.705,172.837,12.591,25.198,178.988,41.914,431.528,20.485,2757.201
12/01/2016,1245.068,692.356,20.362,1957.787,749.517,206.708,13.422,22.055,213.462,45.53,501.177,16.628,3225.109
01/01/2017,1207.105,680.723,21.017,1908.846,764.768,245.389,12.738,18.531,182.616,45.948,505.223,22.297,3201.133
02/01/2017,912.007,586.806,16.382,1515.195,664.778,216.625,11.414,23.276,195.121,40.601,487.036,17,2684.009
03/01/2017,928.648,693.395,16.514,1638.558,680.81,268.338,12.756,38.696,230.029,45.316,595.134,17.145,2931.646
04/01/2017,841.961,646.41,12.818,1501.188,593.479,269.214,12.316,42.805,226.557,39.205,590.096,15.203,2699.966
05/01/2017,967.118,721.544,18.916,1707.578,641.27,296.706,11.824,51.643,206.642,40.432,607.248,14.509,2970.605
06/01/2017,1118.36,877.251,19.436,2015.047,700.866,277.153,11.184,56.287,182.339,42.059,569.021,17.68,3302.613
07/01/2017,1326.426,1115.405,18.475,2460.307,745.875,242.881,12.487,52.421,146.93,43.718,498.437,17.759,3722.379
08/01/2017,1250.518,1053.67,17.772,2321.96,757.067,200.296,12.392,49.512,125.402,44.542,432.144,19.573,3530.744
09/01/2017,1039.785,885.664,16.785,1942.234,712.236,174.842,11.949,46.609,164.358,39.912,437.67,15.478,3107.618
10/01/2017,950.926,796.299,15.758,1762.983,690.239,167.407,11.323,43.955,232.932,40.401,496.018,11.063,2960.304
11/01/2017,968.269,686.963,16.831,1672.062,696.756,188.137,11.878,31.07,221.655,42.086,494.826,10.601,2874.246
12/01/2017,1111.11,810.039,27.018,1948.167,770.824,205.035,14.473,30.933,226.201,45.323,521.965,13.836,3254.792
01/01/2018,1228.724,810.493,64.08,2103.297,780.456,227.604,12.23,29.979,233.134,45.826,548.771,13.939,3446.463
02/01/2018,868.148,711.34,16.562,1596.05,677.38,226.069,11.617,35.22,211.205,41.774,525.886,12.011,2811.327
03/01/2018,842.897,779.744,15.384,1638.025,700.826,234.808,12.462,45.673,241.018,43.993,577.954,15.024,2931.829
04/01/2018,768.009,725.27,16.568,1509.847,618.237,255.213,10.832,54.73,240.755,38.598,600.127,9.919,2738.131
05/01/2018,895.731,873.339,16.21,1785.28,703.833,276.445,12.607,61.89,218.196,40.166,609.304,13.982,3112.398
06/01/2018,1062.146,981.032,19.879,2063.057,728.583,250.765,11.852,66.994,225.044,41.86,596.514,14.598,3402.754
07/01/2018,1208.547,1260.434,19.969,2488.951,757.528,227.977,12.488,61.011,149.813,43.581,494.87,15.133,3756.482
08/01/2018,1206.967,1221.173,20.26,2448.4,755.713,199.76,12.465,60.485,180.8,42.772,496.282,17.066,3717.461
09/01/2018,1021.171,1060.547,19.434,2101.152,676.697,173.787,12.108,53.896,168.688,37.466,445.943,10.883,3234.676
10/01/2018,916.879,914.391,16.327,1847.598,620.995,177.13,11.608,44.918,193.012,39.208,465.877,9.672,2944.141
11/01/2018,979.911,786.202,17.512,1783.625,668.643,198.597,12.135,33.837,200.501,39.759,484.828,8.627,2945.722
12/01/2018,1053.826,785.589,18.165,1857.58,749.177,206.531,12.88,28.106,221.385,41.083,509.985,10.831,3127.573
01/01/2019,1058.91,867.025,22.201,1948.136,770.542,219.688,12.567,32.897,228.97,40.057,534.179,11.4,3264.257
02/01/2019,853.863,800.376,15.607,1669.847,676.594,198.095,11.542,34.454,209.447,34.862,488.4,10.693,2845.534
03/01/2019,835.418,822.618,15.332,1673.368,680.408,231.859,12.685,53.182,237.758,37.17,572.654,8.191,2934.622
04/01/2019,634.031,758.112,12.492,1404.634,633.374,231.346,11.036,61.532,270.588,34.765,609.267,8.142,2655.417
05/01/2019,758.832,857.17,17.403,1633.405,701.777,272.953,11.932,64.728,236.573,38.622,624.808,10.377,2970.368
06/01/2019,839.559,1023.085,15.536,1878.18,719.355,240.285,12.104,72.061,208.973,36.83,570.253,12.387,3180.175
07/01/2019,1061.719,1312.543,18.493,2392.756,754.836,215.389,12.559,73.499,200.596,39.015,541.059,12.574,3701.225
08/01/2019,994.78,1328.07,18.092,2340.942,751.826,188.644,12.557,70.901,180.984,41.391,494.478,13.921,3601.167
09/01/2019,905.068,1128.68,16.177,2049.925,688.903,148.431,12.341,60.803,221.362,36.926,479.862,12,3230.689
10/01/2019,710.041,989.594,11.124,1710.759,648.551,147.784,11.288,55.258,256.381,35.009,505.72,12.22,2877.251
11/01/2019,795.719,846.508,12.344,1654.571,670.431,186.419,9.752,39.489,233.717,34.365,503.741,9.438,2838.182
