U.S. Energy Information Administration,,,,,,,
February 2020 Monthly Energy Review,,,,,,,
,,,,,,,
0,,,,,,,
,,,,,,,
"Release Date: February 25, 2020",,,,,,,
"Next Update: March 26, 2020",,,,,,,
,,,,,,,
Table 9.9 Cost of Fossil-Fuel Receipts at Electric Generating Plants,,,,,,,
,,,,,,,
Month,Cost of Coal Receipts at Electric Generating Plants,Cost of Residual Fuel Receipts at Electric Generating Plants,Cost of Distillate Fuel Receipts at Electric Generating Plants,Costs of Petroleum Coke Receipts at Electric Generating Plants,Costs of Total Petroleum Receipts at Electric Generating Plants,Cost of Natural Gas Receipts at Electric Generating Plants,Cost of Fossil Fuel Receipts at Electric Generating Plants
,"(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)"
2011 March,2.34,17.59,22.59,3.09,12.98,4.64,3.12
2011 April,2.38,18.21,24.06,3.2,13.04,4.86,3.28
2011 May,2.43,17.57,23.04,3.31,13.21,4.89,3.38
2011 June,2.4,20.38,23.13,2.78,14.29,5.04,3.51
2011 July,2.44,20.18,22.95,3.3,12.13,4.98,3.61
2011 August,2.47,17.09,22.51,3.08,10.52,4.73,3.43
2011 September,2.44,19.66,22.73,2.93,11.51,4.56,3.25
2011 October,2.39,19.62,23.2,3.32,13.2,4.33,3.13
2011 November,2.37,19.47,23.38,2.58,13.03,4.1,3.03
2011 December,2.34,20.99,22.45,2.74,12.11,4.04,3.02
2012 January,2.37,20.86,22.94,2.43,12.79,3.69,2.86
2012 February,2.38,21.1,23.81,2.3,12.66,3.34,2.77
2012 March,2.39,22.1,24.96,1.9,12.88,2.99,2.69
2012 April,2.42,22.99,24.61,2.11,12.92,2.71,2.61
2012 May,2.42,23.06,23.24,2.57,13.66,2.94,2.7
2012 June,2.36,22.41,21.63,2.32,13.73,3.11,2.76
2012 July,2.4,19.84,21.92,2.41,14.5,3.43,2.92
2012 August,2.4,19.86,23.38,2.45,12.61,3.5,2.89
2012 September,2.38,20.9,24.42,2.39,10.35,3.41,2.81
2012 October,2.36,20.77,24.93,2,11.5,3.84,2.91
2012 November,2.36,20.72,24.28,2.05,11.71,4.25,2.99
2012 December,2.36,18.83,23.44,2.06,10.98,4.21,3.01
2013 January,2.34,19.13,22.94,2.04,12.44,4.38,3.08
2013 February,2.34,19.7,23.84,2.09,12.66,4.39,3.09
2013 March,2.35,19.38,23.87,2.08,14.34,4.3,3.09
2013 April,2.37,20.23,22.96,2.28,9.67,4.67,3.15
2013 May,2.37,19.53,22.6,2.34,10.75,4.62,3.15
2013 June,2.36,19.67,22.37,2.42,10.04,4.42,3.14
2013 July,2.31,18.76,23.1,2.29,11.38,4.2,3.11
2013 August,2.33,18.59,23.24,2.25,11.74,3.91,2.99
2013 September,2.35,18.92,23.55,2.17,10.06,4.08,3.02
2013 October,2.34,19.71,22.85,2.13,11.22,4.11,2.99
2013 November,2.33,18.85,22.74,1.91,12.88,4.19,3.01
2013 December,2.34,19.67,22.81,2.02,11.18,4.91,3.26
2014 January,2.29,19.65,23.12,1.82,16.63,7.02,4.07
2014 February,2.32,20.05,23.97,Withheld,16.38,7.4,Withheld
2014 March,2.36,20.61,23.83,2.02,12.63,6,3.52
2014 April,2.39,20.88,22.82,2.13,10.14,5.07,3.23
2014 May,2.4,19.98,22.77,2.19,9.91,4.93,3.25
2014 June,2.38,20.38,22.72,2.07,10.67,4.84,3.27
2014 July,2.38,20.57,22.36,1.9,10.07,4.43,3.17
2014 August,2.37,19.89,21.94,1.97,9.77,4.12,3.06
2014 September,2.37,18.64,21.38,1.92,9.93,4.2,3.06
2014 October,2.31,17.19,20.09,1.79,10.67,4.1,2.96
2014 November,2.3,14.64,19.68,1.86,10.5,4.48,3.06
2014 December,2.51,12.1,16.5,2,8.15,4.36,3.14
2015 January,2.29,12.28,13.37,2,7.07,4.11,2.92
2015 February,2.26,10.3,16.46,1.76,8.97,4.7,3.19
2015 March,2.26,10.37,15.6,2,8.2,3.55,2.78
2015 April,2.23,11.83,14.82,1.96,6.85,3.1,2.58
2015 May,2.26,10.83,15.34,2.02,7.17,3.14,2.64
2015 June,2.25,12.2,15.29,1.87,7.78,3.12,2.66
2015 July,2.21,11.34,14.37,1.9,6.03,3.11,2.63
2015 August,2.23,11.25,13.05,1.82,6.38,3.11,2.62
2015 September,2.22,8.44,12.02,1.74,5.68,3.06,2.57
2015 October,2.15,7.74,12.44,1.83,5.75,2.92,2.47
2015 November,2.15,7.77,12.38,1.59,5.55,2.65,2.38
2015 December,2.16,7.81,10.57,1.57,4.97,2.59,2.36
2016 January,2.12,7.08,8.9,1.38,4.56,3.02,2.52
2016 February,2.11,5.77,8.78,1.3,3.66,2.7,2.36
2016 March,2.17,5.63,9.46,1.41,3.62,2.23,2.21
2016 April,2.16,7.53,9.97,1.35,4.53,2.42,2.31
2016 May,2.16,9.07,10.76,1.32,5.7,2.39,2.31
2016 June,2.1,8.93,12.22,1.41,6.13,2.67,2.39
2016 July,2.11,11.72,12.08,1.47,6.38,2.97,2.55
2016 August,2.11,8.55,11.41,1.75,5.24,2.95,2.52
2016 September,2.12,8.42,11.29,2.07,5.23,3.07,2.55
2016 October,2.07,8.75,12.04,1.98,5.85,3.13,2.51
2016 November,2.08,9.03,12.01,2.26,6.24,3.02,2.47
2016 December,2.08,9.65,12.22,2.07,5.93,3.96,2.82
2017 January,2.09,11.25,13.02,2.14,7.8,4.11,2.88
2017 February,2.06,10.77,12.98,2,6.37,3.56,2.63
2017 March,2.07,11.42,12.35,2.06,7.66,3.35,2.66
2017 April,2.08,10.64,13,2,7.01,3.38,2.65
2017 May,2.09,10.69,12.22,2.05,6.69,3.48,2.7
2017 June,2.07,10.48,11.56,2.11,6.18,3.29,2.64
2017 July,2.06,9.99,11.82,2.09,5.97,3.21,2.64
2017 August,2.05,10.03,12.95,2.08,6.31,3.13,2.56
2017 September,2.02,10.06,14.52,2.1,6.42,3.16,2.56
2017 October,2.03,10.61,14.11,2.31,6.88,3.13,2.54
2017 November,2.04,10.28,14.61,2.49,8.04,3.35,2.62
2017 December,2.04,13.6,14.63,2.17,8.9,3.63,2.8
2018 January,2.06,11.45,16.07,2.38,11.95,5.06,3.59
2018 February,2.07,11.46,15.19,2.43,8.61,3.61,2.82
2018 March,2.04,12.1,15.02,2.54,8,3.18,2.59
2018 April,2.07,12.2,16.19,2.56,8.35,3.14,2.61
2018 May,2.04,12.83,16.73,2.41,10.61,3.06,2.59
2018 June,2.04,13.81,16.59,2.73,9.5,3.13,2.64
2018 July,2.05,13.76,16.21,2.71,8.4,3.23,2.73
2018 August,2.06,14.38,16.93,2.79,8.48,3.28,2.72
2018 September,2.05,13.91,17.39,2.94,9.06,3.12,2.65
2018 October,2.04,14.52,17.76,2.48,10.61,3.43,2.76
2018 November,2.06,15.25,16.39,2.21,9.91,4.18,3.05
2018 December,2.11,13.56,14.54,2.03,9.51,4.72,3.29
2019 January,2.1,11.29,14.12,2.08,8.4,4.01,2.99
2019 February,2.07,12.27,15.31,2.27,9.37,3.64,2.85
2019 March,2.08,13.68,15.69,2.43,10.43,3.45,2.79
2019 April,2.07,13.89,16.32,2.71,11.04,2.89,2.49
2019 May,2.06,13.47,16.18,2.24,9.42,2.77,2.43
2019 June,2.03,12.92,14.86,2.18,9.57,2.59,2.36
2019 July,2.02,12.93,15.1,2.01,7.94,2.53,2.33
2019 August,2,13.72,14.83,1.72,6.88,2.41,2.25
2019 September,1.96,11.53,15.11,1.67,9.15,2.59,2.33
2019 October,1.99,12.65,15.38,1.57,10.51,2.5,2.28
2019 November,1.96,12.04,15.29,1.46,7.65,2.96,2.49
