U.S. Energy Information Administration,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,

0,,,,,,,,,,,

"Release Date: February 25, 2020",,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,

Table 2.1 Energy Consumption by Sector,,,,,,,,,,,

Month,Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector,Energy Consumption Balancing Item,Primary Energy Consumption Total
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
2000 May,368.115,1367.622,255.822,1393.529,1933.023,3018.805,2241.142,2246.429,3228.283,-0.617,8025.769
2000 June,275.679,1457.37,213.868,1386.092,1888.67,2936.356,2214.991,2220.211,3406.821,2.794,8002.823
2000 July,248.353,1603.549,204.184,1426.011,1876.961,2896.626,2295.274,2300.703,3602.115,3.511,8230.4
2000 August,259.868,1653.544,229.323,1491.985,1999.087,3061.234,2325.053,2330.705,3724.138,5.087,8542.555
2000 September,277.46,1392.954,222.44,1291.742,1906.965,2838.022,2163.158,2168.257,3120.952,1.351,7692.325
2000 October,398.545,1316.008,263.627,1279.345,1937.363,2882.148,2277.501,2282.309,2882.775,0.721,7760.532
2000 November,685.909,1602.448,388.672,1380.739,1841.633,2792.553,2160.591,2165.334,2864.27,-1.09,7939.985
2000 December,1199.769,2431.274,606.376,1631.239,1923.963,2840.686,2291.292,2296.053,3177.852,-0.808,9198.444
2001 January,1259.614,2607.896,635.289,1693.317,1897.598,2784.208,2138.872,2143.942,3297.992,-0.358,9229.006
2001 February,1011.599,2045.654,533.82,1462.493,1731.934,2584.115,1979.406,1983.984,2819.488,-3.766,8072.48
2001 March,910.141,1938.578,483.694,1508.139,1875.231,2801.469,2224.636,2229.629,2984.113,-4.586,8473.229
2001 April,568.741,1462.889,341.959,1309.404,1811.594,2703.765,2162.022,2166.753,2758.496,-4.727,7638.084
2001 May,342.474,1270.906,233.444,1325.28,1793.727,2771.239,2258.031,2263.311,3003.061,-1.698,7629.039
2001 June,269.265,1392.83,202.423,1386.78,1722.904,2686.899,2179.701,2185.231,3277.448,0.827,7652.567
2001 July,250.353,1618.098,201.818,1465.37,1789.051,2731.448,2319.866,2325.46,3579.287,3.997,8144.373
2001 August,243.045,1685.043,204.362,1496.293,1857.932,2826.628,2284.809,2290.775,3708.59,4.514,8303.252
2001 September,249.278,1346.634,208.46,1315.746,1764.814,2620.604,2111.366,2116.943,3066.009,0.626,7400.553
2001 October,390.69,1320.879,263.964,1337.051,1907.247,2812.533,2243.258,2248.554,2913.858,-1.589,7717.429
2001 November,535.359,1418.882,317.506,1321.722,1800.57,2673.709,2125.154,2130.18,2765.903,-0.655,7543.838
2001 December,834.956,1923.622,458.291,1522.075,1773.066,2655.527,2152.224,2157.326,3040.013,1.336,8259.887
2002 January,1058.755,2321.869,548.733,1579.567,1882.378,2727.83,2158.851,2163.599,3144.149,-0.177,8792.688
2002 February,922.876,1935.889,497.403,1427.127,1683.765,2502.409,1989.146,1993.6,2765.836,-2.411,7856.614
2002 March,866.604,1921.425,468.125,1477.973,1824.036,2714.44,2242.766,2247.472,2959.779,-2.042,8359.268
2002 April,564.22,1507.561,340.869,1349.97,1795.554,2687.456,2210.917,2215.634,2849.06,-2.118,7758.503
2002 May,393.374,1375.9,260.428,1352.981,1824.234,2774.594,2292.504,2297.545,3030.481,-0.596,7800.424
2002 June,276.366,1495.406,207.246,1395.256,1780.442,2740.326,2250.855,2256.212,3372.291,2.847,7890.047
2002 July,242.485,1743.077,201.863,1492.302,1869.063,2858.156,2320.96,2326.522,3785.686,5.719,8425.776
2002 August,234.988,1707.559,201.199,1461.959,1859.165,2826.733,2338.274,2343.831,3706.457,4.876,8344.959
2002 September,245.094,1463.574,205.349,1360.592,1780.672,2667.933,2160.68,2165.908,3266.213,2.306,7660.314
2002 October,411.373,1417.144,277.871,1396.871,1831.344,2724.899,2258.843,2264.043,3023.527,-1.4,7801.558
2002 November,672.81,1657.876,387.593,1430.815,1815.847,2699.806,2221.414,2226.29,2917.122,-1.699,8013.087
2002 December,1019.292,2237.906,535.765,1620.766,1780.413,2666.56,2302.047,2307.111,3194.826,-0.187,8832.157
2003 January,1236.885,2599.786,658.16,1739.041,1848.592,2735.035,2151.592,2158.218,3336.852,1.237,9233.318
2003 February,1129.4,2281.551,602.648,1550.219,1755.493,2581.32,2014.849,2020.527,2931.227,-2.321,8431.296
2003 March,892.674,1971.244,497.745,1500.681,1787.966,2673.672,2234.106,2240.325,2973.431,-3.023,8382.899
2003 April,583.48,1491.005,348.909,1324.257,1757.141,2660.418,2190.567,2196.216,2791.799,-3.658,7668.238
2003 May,392.5,1379.464,255.65,1332.7,1732.633,2683.793,2262.822,2268.956,3021.309,-1.008,7663.905
2003 June,283.004,1413.121,205.197,1347.827,1693.374,2655.278,2219.53,2225.633,3240.755,0.655,7642.514
2003 July,252.31,1688.921,205.376,1472.231,1823.159,2787.676,2313.656,2319.919,3674.245,3.679,8272.424
2003 August,239.31,1709.401,202.504,1473.148,1823.794,2813.597,2383.868,2390.327,3736.996,4.845,8391.317
2003 September,266.274,1439.162,212.396,1309.293,1773.997,2656.705,2193.42,2199.459,3158.531,1.156,7605.774
2003 October,392.238,1358,261.05,1337.128,1832.116,2767.768,2312.872,2319.125,2983.746,-0.807,7781.214
2003 November,588.263,1550.628,343.581,1371.979,1764.104,2687.658,2220.651,2226.753,2920.419,-1.415,7835.603
2003 December,978.095,2231.867,505.807,1590.899,1876.137,2788.468,2308.955,2315.553,3257.793,-0.513,8926.274
2004 January,1239.829,2632.749,641.431,1729.294,1866.155,2751.766,2228.967,2235.88,3373.306,0.609,9350.298
2004 February,1094.984,2292.281,595.416,1592.71,1826.487,2674.631,2168.443,2175.089,3049.38,-0.907,8733.804
2004 March,790.755,1851.908,456.585,1478.955,1876.707,2770.348,2327.27,2333.446,2983.341,-3.7,8430.957
2004 April,544.871,1456.114,339.9,1338.182,1827.797,2717.612,2279.709,2285.825,2805.456,-4.072,7793.662
2004 May,347.168,1381.139,244.975,1396.281,1851.944,2844.716,2338.742,2345.247,3184.553,-1.083,7966.3
2004 June,271.16,1498.225,208.355,1389.402,1828.365,2775.763,2311.658,2318.023,3361.874,0.859,7982.271
2004 July,249.186,1674.961,200.187,1473.688,1874.403,2850.014,2397.767,2404.678,3681.799,2.982,8406.324
2004 August,249.395,1625.617,201.671,1447.581,1903.188,2876.819,2395.5,2402.144,3602.409,2.11,8354.273
2004 September,250.253,1445.151,200.906,1366.634,1829.418,2744.372,2267.238,2273.768,3282.11,0.452,7830.376
2004 October,370.651,1382.02,255.032,1362.269,1893.101,2816.601,2381.929,2388.41,3048.587,-1.772,7947.527
2004 November,589.702,1574.654,349.689,1401.692,1853.687,2778.661,2290.589,2296.851,2968.19,-1.456,8050.403
2004 December,989.63,2265.691,538.352,1680.306,1907.999,2842.641,2359.835,2367.076,3359.899,0.459,9156.174
2005 January,1150.246,2520.133,589.902,1692.72,1878.454,2777.677,2288.146,2295.659,3379.442,1.229,9287.418
2005 February,977.203,2092.527,518.63,1493.734,1738.347,2563.703,2127.858,2134.709,2922.635,-0.972,8283.701
2005 March,893.424,2013.776,479.539,1544.538,1894.267,2789.822,2372.529,2379.177,3087.555,-1.047,8726.267
2005 April,541.645,1464.426,322.458,1327.045,1736.513,2612.917,2308.419,2314.695,2810.048,-4.364,7714.719
2005 May,392.372,1377.059,247.237,1370.725,1800.913,2768.338,2417.702,2424.039,3081.936,-1.15,7939.011
2005 June,283.471,1573.523,208.816,1470.919,1802.771,2776.53,2342.549,2349.405,3532.77,1.68,8172.057
2005 July,250.214,1845.057,197.63,1544.77,1759.422,2735.092,2445.787,2452.576,3924.443,3.236,8580.731
2005 August,245.025,1839.254,200.128,1550.524,1833.783,2816.29,2471.767,2479.003,3934.368,2.729,8687.8
2005 September,243.425,1551.038,194.337,1398.607,1649.273,2551.115,2281.693,2288.254,3420.286,0.25,7789.263
2005 October,354.234,1427.003,238.689,1371.931,1701.974,2598.921,2379.436,2385.809,3109.33,-0.964,7782.699
2005 November,560.281,1561.036,324.82,1403.21,1739.714,2651.246,2318.641,2325.052,2997.089,-1.011,7939.534
2005 December,1011.261,2350.191,530.776,1684.246,1807.011,2731.453,2424.922,2432.276,3424.196,0.21,9198.377
2006 January,920.66,2193.675,500.014,1577.608,1826.926,2692.363,2344.42,2351.282,3222.909,0.243,8815.171
2006 February,913.847,2023.652,494.207,1510.587,1661.858,2513.58,2136.963,2143.494,2984.437,-0.902,8190.411
2006 March,823.399,1939.638,449.824,1525.226,1817.884,2703.429,2410.848,2417.608,3083.945,-1.634,8584.267
2006 April,497.257,1456.917,296.486,1333.21,1695.809,2573.029,2342.231,2348.531,2879.903,-2.542,7709.145
2006 May,328.762,1375.146,226.617,1411.503,1774.398,2733.72,2430.608,2437.034,3197.017,-1.217,7956.185
2006 June,248.303,1548.233,193.926,1460.707,1783.734,2731.531,2398.299,2404.966,3521.174,0.599,8146.035
2006 July,221.709,1837.468,180.626,1557.351,1751.146,2725.832,2501.604,2508.484,3974.049,2.97,8632.105
2006 August,215.4,1821.405,186.07,1552.244,1864.605,2830.842,2516.648,2523.389,3945.157,3.367,8731.247
2006 September,236.522,1413.676,193.233,1351.71,1807.228,2683.096,2331.216,2337.456,3217.739,-0.201,7785.737
2006 October,373.739,1397.695,255.871,1415.513,1852.402,2760.301,2441.623,2448.032,3097.905,-1.883,8019.657
2006 November,563.137,1591.712,331.314,1427.788,1811.048,2685.734,2317.62,2323.936,3006.05,-0.865,8028.304
2006 December,812.888,2070.571,439.626,1585.549,1807.802,2682.927,2445.68,2452.548,3285.599,1.68,8793.276
2007 January,1022.341,2397.484,529.793,1700.576,1857.015,2761.268,2348.909,2357.312,3458.582,1.128,9217.768
2007 February,1122.794,2388.481,578.656,1628.562,1740.461,2557.322,2169.227,2176.718,3139.945,-0.273,8750.81
2007 March,810.243,1934.287,448.554,1540.114,1802.236,2680.486,2394.965,2402.866,3101.754,-2.636,8555.117
2007 April,549.349,1514.199,325.48,1405.421,1743.653,2634.542,2357.524,2364.426,2942.583,-2.645,7915.944
2007 May,323.623,1379.256,222.311,1411.228,1791.431,2746.88,2471.257,2477.953,3206.697,-1.766,8013.552
2007 June,239.167,1518.141,188.691,1466.95,1723.824,2677.705,2419.713,2426.957,3518.359,0.593,8090.346
2007 July,219.074,1726.62,176.761,1520.527,1747.627,2712.891,2513.223,2520.541,3823.894,2.671,8483.25
2007 August,220.828,1862.877,185.342,1612.682,1788.03,2795.734,2530.258,2537.625,4084.46,3.523,8812.44
2007 September,227.761,1545.29,185.538,1405.267,1740.558,2629.961,2345.481,2352.465,3433.645,0.686,7933.669
2007 October,306.016,1389.622,225.637,1421.28,1787.213,2715.643,2432.557,2439.363,3214.485,-1.392,7964.517
2007 November,584.36,1606.388,343.212,1457.936,1749.664,2656.74,2346.882,2354.055,3051.002,-0.957,8074.162
2007 December,964.938,2260.008,513.046,1681.272,1811.858,2735.383,2397.426,2404.742,3394.137,0.382,9081.788
2008 January,1145.208,2574.135,597.268,1765.765,1892.941,2783.186,2278.301,2285.738,3495.107,1.432,9410.257
2008 February,1059.69,2284.454,571.932,1650.444,1745.848,2587.653,2120.55,2127.37,3151.9,-0.196,8649.724
2008 March,864.272,2005.137,476.313,1576.427,1779.435,2668.365,2329.504,2336.214,3136.619,-1.851,8584.292
2008 April,543.573,1522.401,328.631,1406.456,1708.426,2597.297,2302.139,2308.665,2952.049,-2.76,7832.058
2008 May,358.021,1372.467,240.717,1422.628,1735.126,2702.476,2387.622,2394.152,3170.238,-1.906,7889.818
2008 June,258.106,1596.749,193.614,1510.166,1677.27,2639.253,2282.776,2289.613,3624.014,0.829,8036.609
2008 July,230.161,1783.214,186.092,1575.279,1715.347,2675.59,2368.043,2375.078,3909.519,2.722,8411.883
2008 August,219.439,1702.808,182.449,1513,1681.8,2630.487,2357.202,2364.154,3769.558,1.349,8211.797
2008 September,229.987,1426.808,185.349,1394.546,1510.453,2388.664,2132.227,2138.656,3290.657,0.124,7348.798
2008 October,358.251,1371.217,251.913,1420.224,1771.734,2658.791,2326.724,2333.443,3075.053,-3.852,7779.822
2008 November,607.267,1644.348,354.055,1463.131,1642.967,2504.312,2186.429,2193.042,3014.114,0.262,7805.094
2008 December,1016.781,2386.255,532.326,1704.798,1592.962,2422.866,2267.972,2275.258,3379.137,4.38,8793.558
2009 January,1193.633,2653.09,637.064,1811.701,1649.679,2452.994,2199.143,2207.382,3445.647,1.164,9126.331
2009 February,958.004,2125.484,526.487,1529.792,1500.834,2223.926,1983.336,1990.131,2900.672,-2.766,7866.567
2009 March,790.963,1912.091,454.487,1533.052,1567.438,2348.23,2248.743,2255.872,2987.615,-3.752,8045.493
2009 April,540.24,1504.874,324.634,1375.309,1466.368,2239.235,2209.353,2215.809,2794.631,-0.845,7334.381
2009 May,319.558,1354.634,225.949,1380.649,1481.313,2306.093,2232.074,2238.672,3021.154,0.165,7280.212
2009 June,245.754,1503.087,189.346,1451.481,1501.447,2333.263,2234.133,2240.867,3358.016,1.867,7530.563
2009 July,226.488,1682.328,187.166,1471.745,1527.443,2357.452,2285.53,2292.584,3577.481,3.482,7807.59
2009 August,221.244,1685.298,189.598,1500.64,1576.416,2447.069,2312.343,2319.191,3652.597,2.956,7955.155
2009 September,235.905,1396.281,196.038,1353.763,1558.994,2363.691,2143.978,2150.389,3129.208,-0.459,7263.665
2009 October,391.531,1404.729,266.783,1382.395,1602.112,2418.933,2252.9,2259.067,2951.798,-1.794,7463.33
2009 November,525.295,1517.429,322.151,1376.923,1585.533,2392.212,2146.38,2152.671,2859.875,-1.292,7437.943
2009 December,990.179,2344.507,536.773,1721.439,1652.08,2494.237,2262.021,2269.507,3388.637,1.296,8830.987
2010 January,1173.864,2722.039,618.486,1753.331,1687.664,2480.634,2153.904,2161.351,3483.437,4.1,9121.456
2010 February,1013.918,2278.63,549.521,1586.77,1595.323,2359.16,1969.641,1976.661,3072.818,0.814,8202.035
2010 March,751.929,1901.351,419.472,1465.677,1760.59,2565.865,2251.852,2258.545,3007.594,-1.504,8189.933
2010 April,442.45,1350.527,276.948,1306.148,1649.057,2459.918,2239.275,2245.411,2754.274,-2.866,7359.139
2010 May,320.743,1377.988,223.546,1407.081,1654.982,2570.333,2304.044,2310.735,3162.822,-0.702,7665.434
2010 June,251.123,1642.213,193.797,1496.39,1663.409,2572.935,2275.941,2283.061,3610.327,2.385,7996.983
2010 July,220.746,1869.428,177.564,1540.986,1677.731,2591.594,2355.011,2362.059,3933.012,4.167,8368.233
2010 August,211.883,1834.734,181.632,1542.314,1763.385,2689.639,2354.728,2361.285,3916.344,3.833,8431.805
2010 September,219.797,1476.365,184.462,1386.101,1720.278,2561.364,2251.935,2258.321,3305.68,-0.598,7681.554
2010 October,336.526,1324.449,252.984,1361.197,1680.92,2519.59,2284.838,2291.073,2941.042,-1.947,7494.362
2010 November,614.54,1612.048,364.558,1451.498,1680.073,2532.48,2185.383,2191.819,2943.29,-1.949,7785.895
2010 December,1084.526,2505.44,580.908,1761.521,1796.124,2673.863,2270.48,2278.067,3486.854,1.139,9220.031
2011 January,1191.842,2700.965,637.222,1763.388,1804.944,2638.175,2172.102,2179.493,3475.911,3.04,9285.061
2011 February,964.492,2180.117,531.171,1541.195,1597.144,2369.991,1998.449,2004.894,3004.941,-0.356,8095.841
2011 March,766.316,1868.535,445.678,1540.911,1792.889,2656.505,2256.36,2263.332,3068.039,-1.94,8327.342
2011 April,468.214,1453.673,294.101,1351.124,1640.883,2486.105,2189.531,2196.144,2894.316,-1.103,7485.943
2011 May,310.854,1365.826,217.437,1379.704,1664.123,2550.318,2263.954,2270.634,3110.114,-0.765,7565.717
2011 June,236.829,1586.975,191.422,1457.841,1655.958,2555.231,2270.302,2277.191,3522.727,2.278,7879.514
2011 July,216.267,1889,185.345,1569.826,1669.286,2612.492,2285.634,2292.666,4007.452,6.308,8370.293
2011 August,224.41,1825.576,201.732,1549.086,1765.326,2692.116,2315.742,2322.254,3881.823,4.532,8393.564
2011 September,238.509,1454.75,206.781,1375.766,1682.918,2524.764,2184.893,2191.172,3233.353,0.202,7546.655
2011 October,363.633,1336.282,280.292,1397.571,1735.826,2602.522,2222.771,2229.11,2962.963,-1.393,7564.093
2011 November,595.311,1582.913,369.443,1434.721,1752.157,2608.941,2141.327,2147.575,2915.913,-2.005,7772.146
2011 December,897.632,2136.433,505.353,1621.968,1731.132,2582.777,2217.175,2224.155,3214.041,-1.271,8564.063
2012 January,989.638,2288.469,550.288,1636.136,1818.975,2636.2,2099.514,2106.22,3208.61,-0.341,8666.684
2012 February,830.092,1922.942,475.067,1488.007,1712.53,2505.01,2034.856,2041.224,2904.639,-2.531,7954.653
2012 March,543.901,1555.297,338.138,1381.218,1724.575,2552.104,2175.901,2181.976,2888.08,-5.692,7664.904
2012 April,395.883,1290.309,270.037,1295.763,1649.157,2471.771,2148.291,2154.281,2748.757,-5.529,7206.596
2012 May,267.953,1340.055,207.772,1385.128,1716.648,2616.426,2253.539,2259.861,3155.558,-2.121,7599.349
2012 June,220.468,1508.728,187.544,1424.196,1682.197,2558.463,2220.133,2226.392,3407.437,2.853,7720.632
2012 July,203.15,1836.14,180.12,1537.981,1705.254,2626.647,2266.822,2273.468,3918.89,7.776,8282.013
2012 August,209.704,1722.618,196.238,1506.314,1759.959,2660.958,2318.298,2324.767,3730.458,5.086,8219.743
2012 September,215.582,1395.757,196.716,1354.582,1668.026,2483.005,2117.539,2123.632,3159.114,2.696,7359.672
2012 October,351.676,1329.517,271.6,1389.048,1792.676,2632.202,2206.914,2212.976,2940.878,0.037,7563.78
2012 November,623.387,1634.454,379.507,1437.254,1759.337,2579.879,2099.915,2105.833,2895.274,-0.128,7757.292
2012 December,833.586,2052.172,472.282,1583.454,1797.802,2634.04,2108.478,2115.079,3172.598,0.063,8384.808
2013 January,1100.62,2455.465,591.547,1699.077,1856.061,2683.716,2129.38,2136.206,3296.855,-0.506,8973.957
2013 February,955.937,2087.734,532.087,1542.831,1666.492,2433.858,1937.359,1943.951,2916.499,-1.395,8006.979
2013 March,861.392,2014.592,490.697,1560.718,1745.467,2573.351,2217.409,2224.03,3057.725,-1.574,8371.117
2013 April,518.288,1488.318,323.825,1353.291,1683.988,2498.429,2168.944,2175.336,2820.329,-3.813,7511.561
2013 May,312.58,1312.459,227.255,1368.841,1760.174,2651.919,2271.413,2278.002,3039.799,-2.639,7608.582
2013 June,226.967,1468.944,184.684,1420.642,1703.509,2589.55,2224.419,2231.138,3370.695,2.014,7712.287
2013 July,211.726,1707.576,184.05,1507.869,1790.427,2693.907,2340.434,2347.18,3729.894,5.367,8261.898
2013 August,214.55,1634.544,190.968,1497.808,1769.587,2672.672,2346.28,2352.912,3636.552,4.173,8162.109
2013 September,228.185,1434.685,197.372,1373.948,1786.721,2611.711,2199.034,2205.253,3214.286,0.79,7626.387
2013 October,342.054,1338.602,261.594,1389.28,1851.481,2687.67,2285.782,2291.736,2966.377,-2.264,7705.025
2013 November,674.106,1705.465,416.841,1505.933,1859.529,2698.399,2205.117,2211.167,2965.37,-2.34,8118.624
2013 December,1043.565,2405.096,560.676,1708.911,1904.935,2729.111,2207.628,2214.796,3341.11,0.853,9058.767
2014 January,1272.039,2808.411,678.81,1872.85,1913.146,2753.616,2137.987,2145.454,3578.349,4.412,9584.744
2014 February,1068.469,2351.289,593.404,1635.36,1693.433,2446.431,1981.194,1988.182,3084.762,2.502,8423.765
2014 March,903.989,2086.369,518.243,1625.427,1759.111,2592.74,2205.373,2212.085,3129.905,0.144,8516.765
2014 April,492.682,1424.185,314.232,1348.376,1747.285,2559.846,2214.119,2220.575,2784.665,-2.742,7550.24
2014 May,334.685,1339.504,242.428,1393.559,1729.494,2625.737,2273.367,2280.143,3058.969,-0.969,7637.974
2014 June,240.154,1478.653,200.505,1442.923,1700.933,2600.162,2240.413,2246.805,3386.539,2.416,7770.959
2014 July,224.263,1645.886,193.848,1495.189,1792.964,2710.264,2360.324,2367.013,3646.954,3.711,8222.063
2014 August,216.567,1616.231,193.59,1487.872,1799.702,2725.136,2358.377,2364.991,3625.994,3.861,8198.091
2014 September,247.345,1428.554,212.654,1387.088,1789.381,2625.719,2192.318,2198.46,3198.123,0.656,7640.478
2014 October,356.316,1331.477,273.176,1397.394,1847.597,2693.016,2327.977,2334.192,2951.013,-2.728,7753.352
2014 November,728.223,1773.932,447.992,1543.731,1808.81,2660.677,2206.819,2213.516,3000.011,-2.877,8188.978
2014 December,923.047,2164.807,521.94,1632.839,1872.286,2695.898,2291,2297.438,3182.709,-2.842,8788.14
2015 January,1177.958,2580.923,673.475,1810.183,1904.889,2715.609,2178.13,2184.982,3357.244,-0.671,9291.025
2015 February,1124.648,2377.375,646.55,1713.597,1724.546,2500.926,2004.573,2011.649,3103.23,0.71,8604.256
2015 March,820.836,1972.893,502.83,1562.746,1813.253,2597,2289.384,2296.065,3002.401,-2.17,8426.533
2015 April,452.683,1344.374,323.043,1352.825,1738.984,2534.679,2226.966,2233.09,2723.291,-3.349,7461.618
2015 May,298.898,1290.385,248.287,1388.195,1784.669,2648.576,2306.648,2312.991,3001.644,-1.259,7638.888
2015 June,219.496,1466.229,211.272,1447.335,1780.383,2673.905,2297.942,2304.257,3382.634,2.283,7894.009
2015 July,207.392,1712.648,213.384,1537.912,1845.975,2750.411,2412.389,2419.069,3740.9,4.852,8424.892
2015 August,207.332,1666.376,217.702,1515.246,1830.673,2722.899,2392.388,2398.694,3655.121,4.703,8307.919
2015 September,210.07,1434.688,217.159,1410.324,1730.72,2558.062,2268.018,2274.026,3251.133,3.198,7680.299
2015 October,359.477,1328.007,305.266,1405.136,1745.816,2557.389,2317.412,2323.612,2886.172,-1.698,7612.446
2015 November,587.953,1525.749,400.964,1454.748,1710.164,2504.443,2183.794,2189.905,2791.969,-2.771,7672.074
2015 December,798.926,1922.852,481.465,1556.667,1809.658,2596.96,2283.426,2289.659,2992.663,-2.489,8363.649
2016 January,1090.999,2424.298,634.716,1758.699,1879.488,2682.162,2181.644,2188.362,3266.676,-0.414,9053.108
2016 February,874.268,2002.964,535.644,1542.596,1806.36,2553.395,2120.771,2127.06,2888.973,-3.75,8222.266
2016 March,609.642,1589.406,406.368,1440.021,1827.731,2602.316,2344.532,2350.487,2793.958,-6.833,7975.398
2016 April,462.297,1341.89,329.04,1346.195,1709.519,2493.446,2260.25,2266.182,2686.606,-5.261,7442.451
2016 May,312.568,1277.888,262.418,1373.654,1731.447,2566.553,2351.109,2357.066,2917.62,-3.181,7571.98
2016 June,219.011,1511.047,218.533,1460.543,1722.396,2585.795,2359.004,2365.519,3403.962,2.804,7925.709
2016 July,204.885,1795.152,217.022,1556.292,1767.657,2664.46,2429.96,2436.636,3833.017,6.372,8458.912
2016 August,192.108,1750.294,219.53,1564.342,1856.975,2744.432,2455.715,2462.004,3796.744,6.644,8527.717
2016 September,211.069,1458.535,225.594,1416.452,1752.161,2555.042,2297.432,2303.575,3247.348,2.998,7736.602
2016 October,314.47,1309.61,287.607,1395.045,1809.577,2609.52,2320.958,2326.964,2908.527,-0.325,7640.814
2016 November,526.269,1453.34,384.245,1428.794,1787.31,2567.009,2251.259,2257.14,2757.201,-3.127,7703.156
2016 December,1010.429,2269.251,601.059,1744.579,1896.276,2712.266,2337.741,2344.518,3225.109,-0.42,9070.193
2017 January,1040.588,2340.575,610.968,1712.515,1898.945,2691.831,2219.362,2226.075,3201.133,1.852,8972.848
2017 February,742.911,1725.587,467.388,1437.136,1681.907,2407.309,2040.75,2046.932,2684.009,-2.275,7614.69
2017 March,749.517,1786.561,485.384,1563.441,1884.499,2694.557,2372.241,2378.73,2931.646,-2.496,8420.792
2017 April,408.363,1306.281,306.278,1321.621,1772.942,2553.816,2259.607,2265.436,2699.966,-3.321,7443.833
2017 May,313.419,1313.707,265.952,1384.21,1825.448,2671.576,2416.498,2422.43,2970.605,-1.337,7790.586
2017 June,229.599,1461.291,224.497,1430.76,1801.468,2659.816,2394.535,2400.845,3302.613,2.408,7955.119
2017 July,202.606,1720.47,213.141,1522.171,1854.342,2743.45,2425.546,2431.923,3722.379,5.44,8423.454
2017 August,204.441,1596.178,221.375,1480.55,1844.231,2717.791,2484.11,2490.382,3530.744,3.726,8288.627
2017 September,214.928,1362.237,225.55,1372.956,1777.908,2584.84,2295.353,2301.324,3107.618,0.438,7621.795
2017 October,324.578,1340.644,292.33,1411.93,1856.793,2675.243,2396.887,2403.075,2960.304,-1.549,7829.343
2017 November,627.865,1625.22,432.018,1496.855,1908.307,2714.298,2280.214,2286.277,2874.246,-1.786,8120.863
2017 December,1035.339,2307.215,623.772,1763.262,1950.952,2787.458,2353.722,2360.643,3254.792,-0.684,9217.894
2018 January,1235.795,2725.379,706.034,1855.605,2007.316,2807.17,2262.831,2270.285,3446.463,1.914,9660.353
2018 February,877.985,1970.165,540.996,1526.93,1775.057,2502.179,2055.927,2062.018,2811.327,-2.309,8058.982
2018 March,848.297,1906.439,536.917,1603.843,1978.573,2779.218,2417.007,2423.122,2931.829,-4.403,8708.219
2018 April,604.302,1542.633,408.036,1423.81,1820.077,2598.21,2320.282,2326.175,2738.131,-5.533,7885.295
2018 May,289.24,1354.81,251.526,1412.806,1887.323,2766.849,2442.861,2448.883,3112.398,-2.33,7981.019
2018 June,225.888,1533.135,223.882,1451.621,1855.688,2717.19,2433.954,2440.219,3402.754,2.41,8144.575
2018 July,212.038,1749.919,218.874,1535.993,1914.182,2809.31,2502.041,2508.394,3756.482,4.627,8608.243
2018 August,202.413,1699.254,222.825,1537.816,1993.34,2892.334,2546.322,2552.956,3717.461,4.706,8687.066
2018 September,217.915,1453.996,225.983,1396.132,1862.391,2684.698,2316.68,2322.819,3234.676,0.806,7858.451
2018 October,403.394,1422.713,341.777,1447.602,1979.927,2792.917,2406.831,2412.837,2944.141,-1.99,8074.078
2018 November,790.908,1843.054,508.63,1572.874,1930.336,2753.427,2335.701,2341.943,2945.722,-2.434,8508.863
2018 December,994.139,2228.088,602.789,1684.652,1935.318,2740.517,2360.465,2367.027,3127.573,-2.332,9017.952
2019 January,1195.929,2538.032,701.729,1828.259,2056.575,2845.424,2286.142,2292.917,3264.257,-1.422,9503.21
2019 February,1015.43,2151.896,599.979,1594.61,1790.873,2498.428,2103.355,2110.238,2845.534,-3.481,8351.69
2019 March,890.649,1999.058,552.829,1611.292,1946.035,2706.97,2357.48,2364.295,2934.622,-5.04,8676.575
2019 April,476.407,1363.693,347.074,1354.95,1836.528,2590.717,2314.263,2320.33,2655.417,-6.25,7623.44
2019 May,344.418,1360.683,277.033,1404.786,1908.578,2728.735,2415.733,2421.925,2970.368,-4.966,7911.164
2019 June,243.769,1447.518,228.652,1389.345,1835.628,2645.174,2416.372,2422.559,3180.175,-2.346,7902.249
2019 July,228.391,1759.022,228.388,1530.267,1918.318,2780.591,2485.658,2492.1,3701.225,3.351,8565.331
2019 August,225.895,1694.781,235.209,1512.474,1945.034,2793.596,2536.762,2543.216,3601.167,2.229,8546.296
2019 September,218.775,1482.34,223.355,1393.781,1886.589,2676.715,2302.102,2308.674,3230.689,0.244,7861.755
2019 October,370.711,1392.796,311.604,1400.876,1991.555,2752.265,2437.59,2442.773,2877.251,-11.674,7977.037
2019 November,739.389,1771.357,482.448,1515.987,1967.588,2734.018,2292.456,2298.7,2838.182,-9.389,8310.673
