U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 7.2b Electricity Net Generation: Electric Power Sector,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,"Electricity Net Generation From Coal, Electric Power Sector","Electricity Net Generation From Petroleum, Electric Power Sector","Electricity Net Generation From Natural Gas, Electric Power Sector","Electricity Net Generation From Other Gases, Electric Power Sector","Electricity Net Generation From Nuclear Electric Power, Electric Power Sector","Electricity Net Generation From Hydroelectric Pumped Storage, Electric Power Sector","Electricity Net Generation From Conventional Hydroelectric Power, Electric Power Sector","Electricity Net Generation From Wood, Electric Power Sector","Electricity Net Generation From Waste, Electric Power Sector","Electricity Net Generation From Geothermal, Electric Power Sector","Electricity Net Generation From Solar, Electric Power Sector","Electricity Net Generation From Wind, Electric Power Sector","Electricity Net Generation Total (including from sources not shown), Electric Power Sector"
,(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours)
01/01/1973,75190.149,31183.619,21184.967,Not Available,6246.251,Not Available,25944.364,5.157,15.152,143.49,Not Available,Not Available,159913.15
02/01/1973,67797.946,26086.952,20252.525,Not Available,5928.069,Not Available,23031.167,15.138,13.874,131.171,Not Available,Not Available,143256.841
03/01/1973,67387.612,24033.245,24043.248,Not Available,6649.007,Not Available,25562.643,17.94,16.913,135.938,Not Available,Not Available,147846.547
04/01/1973,63935.049,20195.424,25030.266,Not Available,5876.392,Not Available,24072.596,6.323,16.771,158.705,Not Available,Not Available,139291.526
05/01/1973,64927.181,21741.975,29755.984,Not Available,5696.657,Not Available,24793.222,4.589,20.209,147.965,Not Available,Not Available,147087.783
06/01/1973,69592.039,25999.512,34627.356,Not Available,6784.152,Not Available,23752.076,3.707,16.938,169.654,Not Available,Not Available,160945.434
07/01/1973,75988.308,28728.259,39171.261,Not Available,6960.486,Not Available,22418.901,3.821,16.409,179.895,Not Available,Not Available,173467.339
08/01/1973,78365.191,30745.665,38890.546,Not Available,7785.326,Not Available,21119.68,15.159,17.704,169.592,Not Available,Not Available,177108.863
09/01/1973,71304.493,27109.009,33118.166,Not Available,7862.383,Not Available,17076.411,19.924,17.158,143.622,Not Available,Not Available,156651.165
10/01/1973,70104.344,27224.244,30688.93,Not Available,7518.195,Not Available,18210.551,18.564,19.288,169.452,Not Available,Not Available,153953.568
11/01/1973,69706.997,26124.562,23717.377,Not Available,8142.033,Not Available,19984.267,9.174,14.526,181.805,Not Available,Not Available,147880.743
12/01/1973,73352.161,25170.459,20377.565,Not Available,8030.511,Not Available,26117.573,10.907,12.949,234.424,Not Available,Not Available,153306.551
01/01/1974,73631.774,26198.955,20728.02,Not Available,7602.79,Not Available,28861.101,10.676,14.536,206.282,Not Available,Not Available,157254.133
02/01/1974,66116.767,22564.916,18941.924,Not Available,8115.522,Not Available,26535.505,3.687,13.603,182.051,Not Available,Not Available,142473.976
03/01/1974,67746.788,22136.383,23628.456,Not Available,8777.497,Not Available,27533.955,3.404,14.17,207.322,Not Available,Not Available,150047.975
04/01/1974,62866.281,19940.913,24029.361,Not Available,7128.892,Not Available,27836.249,10.355,13.612,195.253,Not Available,Not Available,142020.915
05/01/1974,67789.4,22682.163,28325.25,Not Available,6562.335,Not Available,27935.041,11.103,12.366,195.399,Not Available,Not Available,153513.056
06/01/1974,67470.507,23064.936,31727.856,Not Available,7079.595,Not Available,26602.01,9.564,17.154,189.133,Not Available,Not Available,156160.756
07/01/1974,76361.27,27725.762,37214.571,Not Available,10209.908,Not Available,26250.21,0.466,19.907,209.804,Not Available,Not Available,177991.897
08/01/1974,74759.54,27201.402,35350.593,Not Available,12333.452,Not Available,24005.689,2.967,18.074,207.135,Not Available,Not Available,173878.851
09/01/1974,65266.997,25047.795,29348.424,Not Available,11009.752,Not Available,21345.072,11.63,17.539,191.428,Not Available,Not Available,152238.636
10/01/1974,66953.772,25701.39,28263.526,Not Available,10863.505,Not Available,19985.16,1.738,14.972,194.383,Not Available,Not Available,151978.447
11/01/1974,66996.029,27758.192,22735.948,Not Available,11004.327,Not Available,21102.039,1.86,14.81,231.149,Not Available,Not Available,149844.354
12/01/1974,72473.794,30907.732,19771.16,Not Available,13288.168,Not Available,23040.135,1.072,11.411,243.295,Not Available,Not Available,159736.766
01/01/1975,74836.043,30632.234,19689.283,Not Available,13938.354,Not Available,25011.443,0.738,13.481,203.434,Not Available,Not Available,164325.01
02/01/1975,67285.094,24923.842,18049.671,Not Available,12733.338,Not Available,23885.821,1.018,10.864,193.978,Not Available,Not Available,147083.625
03/01/1975,69176.492,23122.664,20098.711,Not Available,14881.784,Not Available,27970.111,0.588,11.925,218.817,Not Available,Not Available,155481.091
04/01/1975,64453.298,21257.994,20323.206,Not Available,13327.245,Not Available,26624.339,0.195,11.265,219.194,Not Available,Not Available,146216.736
05/01/1975,64741.073,21050.282,25707.482,Not Available,13763.765,Not Available,27713.373,0.897,16.63,237.853,Not Available,Not Available,153231.356
06/01/1975,70346.207,23062.398,28830.399,Not Available,12743.82,Not Available,27142.779,2.721,18.527,295.063,Not Available,Not Available,162441.914
07/01/1975,76294.723,25132.477,34181.9,Not Available,15372.216,Not Available,25521.546,0.366,15.674,297.005,Not Available,Not Available,176815.907
08/01/1975,78882.011,27957.786,34041.236,Not Available,15879.687,Not Available,22612.189,1.506,17.748,322.05,Not Available,Not Available,179714.213
09/01/1975,68558.859,21426.066,30020.384,Not Available,14396.011,Not Available,20519.408,3.089,15.14,283.868,Not Available,Not Available,155222.825
10/01/1975,69042.72,21994.709,26300.474,Not Available,14626.168,Not Available,22638.919,2.9,15.509,327.31,Not Available,Not Available,154948.708
11/01/1975,70424.195,21614.561,21829.846,Not Available,14164.018,Not Available,24429.203,1.844,13.517,318.052,Not Available,Not Available,152795.235
12/01/1975,78745.507,26919.888,20705.816,Not Available,16678.669,Not Available,25977.509,1.689,13.289,329.548,Not Available,Not Available,169371.915
01/01/1976,83690.963,32230.754,19894.883,Not Available,16098.884,Not Available,26069.875,2.121,13.472,328.068,Not Available,Not Available,178329.02
